id,name,description,image_url,max_stack
41,Arrow of Harming - Instant Damage II,Arrow of Harming - Instant Damage II,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_arrow_of_harming_instant_damage_ii.png,64
42,Arrow of Healing - Instant Health,Arrow of Healing - Instant Health,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_arrow_of_healing_instant_health.png,64
43,Arrow of Healing - Instant Health II,Arrow of Healing - Instant Health II,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_arrow_of_healing_instant_health_ii.png,64
44,Arrow of Infestation - Infested (0:22),Arrow of Infestation - Infested (0:22),https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_arrow_of_infestation_infested_0_22.png,64
45,Arrow of Invisibility - Invisibility (0:22),Arrow of Invisibility - Invisibility (0:22),https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_arrow_of_invisibility_invisibility_0_22.png,64
46,Arrow of Invisibility - Invisibility (1:00),Arrow of Invisibility - Invisibility (1:00),https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_arrow_of_invisibility_invisibility_1_00.png,64
47,Arrow of Leaping - Jump Boost (0:22),Arrow of Leaping - Jump Boost (0:22),https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_arrow_of_leaping_jump_boost_0_22.png,64
48,Arrow of Leaping - Jump Boost (1:00),Arrow of Leaping - Jump Boost (1:00),https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_arrow_of_leaping_jump_boost_1_00.png,64
49,Arrow of Leaping - Jump Boost II (0:11),Arrow of Leaping - Jump Boost II (0:11),https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_arrow_of_leaping_jump_boost_ii_0_11.png,64
50,Arrow of Luckâ€Œ - Luck (0:37),Arrow of Luckâ€Œ - Luck (0:37),https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_arrow_of_luck_luck_0_37.png,64
51,Arrow of Night Vision - Night Vision (0:22),Arrow of Night Vision - Night Vision (0:22),https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_arrow_of_night_vision_night_vision_0_22.png,64
52,Arrow of Night Vision - Night Vision (1:00),Arrow of Night Vision - Night Vision (1:00),https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_arrow_of_night_vision_night_vision_1_00.png,64
53,Arrow of Oozing - Oozing (0:22),Arrow of Oozing - Oozing (0:22),https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_arrow_of_oozing_oozing_0_22.png,64
54,Arrow of Poison - Poison (0:05),Arrow of Poison - Poison (0:05),https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_arrow_of_poison_poison_0_05.png,64
55,Arrow of Poison - Poison (0:11),Arrow of Poison - Poison (0:11),https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_arrow_of_poison_poison_0_11.png,64
56,Arrow of Poison - Poison II (0:02),Arrow of Poison - Poison II (0:02),https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_arrow_of_poison_poison_ii_0_02.png,64
57,Arrow of Regeneration - Regeneration (0:05),Arrow of Regeneration - Regeneration (0:05),https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_arrow_of_regeneration_regeneration_0_05.png,64
58,Arrow of Regeneration - Regeneration (0:11),Arrow of Regeneration - Regeneration (0:11),https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_arrow_of_regeneration_regeneration_0_11.png,64
59,Arrow of Regeneration - Regeneration II (0:02),Arrow of Regeneration - Regeneration II (0:02),https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_arrow_of_regeneration_regeneration_ii_0_02.png,64
60,Arrow of Slow Falling - Slow Falling (0:11),Arrow of Slow Falling - Slow Falling (0:11),https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_arrow_of_slow_falling_slow_falling_0_11.png,64
61,Arrow of Slow Falling - Slow Falling (0:30),Arrow of Slow Falling - Slow Falling (0:30),https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_arrow_of_slow_falling_slow_falling_0_30.png,64
62,Arrow of Slowness - Slowness (0:11),Arrow of Slowness - Slowness (0:11),https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_arrow_of_slowness_slowness_0_11.png,64
63,Arrow of Slowness - Slowness (0:30),Arrow of Slowness - Slowness (0:30),https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_arrow_of_slowness_slowness_0_30.png,64
64,Arrow of Slowness - Slowness IV (0:02),Arrow of Slowness - Slowness IV (0:02),https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_arrow_of_slowness_slowness_iv_0_02.png,64
65,Arrow of Splashing,Arrow of Splashing,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_arrow_of_splashing.png,64
66,Arrow of Strength - Strength (0:22),Arrow of Strength - Strength (0:22),https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_arrow_of_strength_strength_0_22.png,64
67,Arrow of Strength - Strength (1:00),Arrow of Strength - Strength (1:00),https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_arrow_of_strength_strength_1_00.png,64
68,Arrow of Strength - Strength II (0:11),Arrow of Strength - Strength II (0:11),https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_arrow_of_strength_strength_ii_0_11.png,64
69,Arrow of Swiftness - Speed (0:22),Arrow of Swiftness - Speed (0:22),https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_arrow_of_swiftness_speed_0_22.png,64
70,Arrow of Swiftness - Speed (1:00),Arrow of Swiftness - Speed (1:00),https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_arrow_of_swiftness_speed_1_00.png,64
71,Arrow of Swiftness - Speed II (0:11),Arrow of Swiftness - Speed II (0:11),https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_arrow_of_swiftness_speed_ii_0_11.png,64
72,Arrow of the Turtle Master - ... IV ... III (0:02),Arrow of the Turtle Master - ... IV ... III (0:02),https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_arrow_of_the_turtle_master_iv_iii_0_02.png,64
73,Arrow of the Turtle Master - ... IV ... III (0:05),Arrow of the Turtle Master - ... IV ... III (0:05),https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_arrow_of_the_turtle_master_iv_iii_0_05.png,64
74,Arrow of the Turtle Master - ... VI ... IV (0:02),Arrow of the Turtle Master - ... VI ... IV (0:02),https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_arrow_of_the_turtle_master_vi_iv_0_02.png,64
75,Arrow of Water Breathing - Water Breathing (0:22),Arrow of Water Breathing - Water Breathing (0:22),https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_arrow_of_water_breathing_water_breathing_0_22.png,64
76,Arrow of Water Breathing - Water Breathing (1:00),Arrow of Water Breathing - Water Breathing (1:00),https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_arrow_of_water_breathing_water_breathing_1_00.png,64
77,Arrow of Weakness - Weakness (0:11),Arrow of Weakness - Weakness (0:11),https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_arrow_of_weakness_weakness_0_11.png,64
78,Arrow of Weakness - Weakness (0:30),Arrow of Weakness - Weakness (0:30),https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_arrow_of_weakness_weakness_0_30.png,64
79,Arrow of Weaving - Weaving (0:22),Arrow of Weaving - Weaving (0:22),https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_arrow_of_weaving_weaving_0_22.png,64
80,Arrow of Wind Charging - Wind Charged (0:22),Arrow of Wind Charging - Wind Charged (0:22),https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_arrow_of_wind_charging_wind_charged_0_22.png,64
81,Awkward Lingering Potion,Awkward Lingering Potion,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_awkward_lingering_potion.png,1
82,Awkward Potion,Awkward Potion,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_awkward_potion.png,1
83,Awkward Splash Potion,Awkward Splash Potion,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_awkward_splash_potion.png,1
84,Axolotl Spawn Egg,Axolotl Spawn Egg,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_axolotl_spawn_egg.png,64
85,Azalea,Azalea,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_azalea.png,64
86,Azalea Leaves,Azalea Leaves,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_azalea_leaves.png,64
87,Azure Bluet,Azure Bluet,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_azure_bluet.png,64
88,Baked Potato,Baked Potato,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_baked_potato.png,64
89,Bamboo,Bamboo,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_bamboo.png,64
90,Bamboo Button,Bamboo Button,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_bamboo_button.png,64
91,Bamboo Door,Bamboo Door,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_bamboo_door.png,64
92,Bamboo Fence,Bamboo Fence,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_bamboo_fence.png,64
93,Bamboo Fence Gate,Bamboo Fence Gate,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_bamboo_fence_gate.png,64
94,Bamboo Hanging Sign,Bamboo Hanging Sign,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_bamboo_hanging_sign.png,16
95,Bamboo Mosaic,Bamboo Mosaic,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_bamboo_mosaic.png,64
96,Bamboo Mosaic Slab,Bamboo Mosaic Slab,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_bamboo_mosaic_slab.png,64
97,Bamboo Mosaic Stairs,Bamboo Mosaic Stairs,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_bamboo_mosaic_stairs.png,64
98,Bamboo Planks,Bamboo Planks,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_bamboo_planks.png,64
99,Bamboo Pressure Plate,Bamboo Pressure Plate,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_bamboo_pressure_plate.png,64
100,Bamboo Raft,Bamboo Raft,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_bamboo_raft.png,1
101,Bamboo Raft with Chest,Bamboo Raft with Chest,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_bamboo_raft_with_chest.png,1
102,Bamboo Shelf,Bamboo Shelf,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_bamboo_shelf.png,64
103,Bamboo Sign,Bamboo Sign,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_bamboo_sign.png,16
104,Bamboo Slab,Bamboo Slab,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_bamboo_slab.png,64
105,Bamboo Stairs,Bamboo Stairs,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_bamboo_stairs.png,64
106,Bamboo Trapdoor,Bamboo Trapdoor,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_bamboo_trapdoor.png,64
107,Barrel,Barrel,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_barrel.png,64
108,Barrier,Barrier,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_barrier.png,64
109,Basalt,Basalt,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_basalt.png,64
110,Bat Spawn Egg,Bat Spawn Egg,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_bat_spawn_egg.png,64
111,Beacon,Beacon,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_beacon.png,64
112,Bedrock,Bedrock,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_bedrock.png,64
113,Bee Nest,Bee Nest,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_bee_nest.png,64
114,Bee Spawn Egg,Bee Spawn Egg,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_bee_spawn_egg.png,64
115,Beehive,Beehive,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_beehive.png,64
116,Beetroot,Beetroot,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_beetroot.png,64
117,Beetroot Seeds,Beetroot Seeds,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_beetroot_seeds.png,64
118,Beetroot Soup,Beetroot Soup,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_beetroot_soup.png,1
119,Bell,Bell,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_bell.png,64
120,Big Dripleaf,Big Dripleaf,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_big_dripleaf.png,64
121,Birch Boat,Birch Boat,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_birch_boat.png,1
122,Birch Boat with Chest,Birch Boat with Chest,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_birch_boat_with_chest.png,1
123,Birch Button,Birch Button,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_birch_button.png,64
124,Birch Door,Birch Door,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_birch_door.png,64
125,Birch Fence,Birch Fence,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_birch_fence.png,64
126,Birch Fence Gate,Birch Fence Gate,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_birch_fence_gate.png,64
127,Birch Hanging Sign,Birch Hanging Sign,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_birch_hanging_sign.png,16
128,Birch Leaves,Birch Leaves,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_birch_leaves.png,64
129,Birch Log,Birch Log,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_birch_log.png,64
130,Birch Planks,Birch Planks,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_birch_planks.png,64
131,Birch Pressure Plate,Birch Pressure Plate,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_birch_pressure_plate.png,64
132,Birch Sapling,Birch Sapling,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_birch_sapling.png,64
133,Birch Shelf,Birch Shelf,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_birch_shelf.png,64
134,Birch Sign,Birch Sign,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_birch_sign.png,16
135,Birch Slab,Birch Slab,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_birch_slab.png,64
136,Birch Stairs,Birch Stairs,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_birch_stairs.png,64
137,Birch Trapdoor,Birch Trapdoor,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_birch_trapdoor.png,64
138,Birch Wood,Birch Wood,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_birch_wood.png,64
139,Black Banner,Black Banner,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_black_banner.png,16
140,Black Bed,Black Bed,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_black_bed.png,1
141,Black Bundle,Black Bundle,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_black_bundle.png,1
142,Black Candle,Black Candle,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_black_candle.png,64
143,Black Carpet,Black Carpet,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_black_carpet.png,64
144,Black Concrete,Black Concrete,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_black_concrete.png,64
145,Black Concrete Powder,Black Concrete Powder,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_black_concrete_powder.png,64
146,Black Dye,Black Dye,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_black_dye.png,64
147,Black Glazed Terracotta,Black Glazed Terracotta,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_black_glazed_terracotta.png,64
148,Black Harness,Black Harness,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_black_harness.png,1
149,Black Shield,Black Shield,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_black_shield.png,1
150,Black Shulker Box,Black Shulker Box,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_black_shulker_box.png,1
151,Black Stained Glass,Black Stained Glass,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_black_stained_glass.png,64
152,Black Stained Glass Pane,Black Stained Glass Pane,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_black_stained_glass_pane.png,64
153,Black Terracotta,Black Terracotta,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_black_terracotta.png,64
154,Black Wool,Black Wool,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_black_wool.png,64
155,Blackstone,Blackstone,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_blackstone.png,64
156,Blackstone Slab,Blackstone Slab,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_blackstone_slab.png,64
157,Blackstone Stairs,Blackstone Stairs,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_blackstone_stairs.png,64
158,Blackstone Wall,Blackstone Wall,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_blackstone_wall.png,64
159,Blade Pottery Sherd,Blade Pottery Sherd,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_blade_pottery_sherd.png,64
160,Blast Furnace,Blast Furnace,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_blast_furnace.png,64
161,Blaze Powder,Blaze Powder,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_blaze_powder.png,64
162,Blaze Rod,Blaze Rod,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_blaze_rod.png,64
